0	"[5.49545455e-05 5.49545455e-05 5.49545455e-05 1.46545455e-04
 1.46545455e-04 1.46545455e-04 1.46545455e-04 1.46545455e-04]"
1	"[0.00082432 0.00082432 0.0010075  0.0010075  0.0030225  0.0018135
 0.0018135  0.0010075 ]"
2	"[0.00435973 0.03269795 0.03269795 0.00653959 0.00384682 0.00384682
 0.00653959 0.00467114]"
3	"[0.00128227 0.00051291 0.00064114 0.00051291 0.00128227 0.00128227
 0.00128227 0.00036636]"
4	"[7.32727273e-05 2.74772727e-04 7.32727273e-05 2.74772727e-04
 3.66363636e-04 3.66363636e-04 2.74772727e-04 7.32727273e-05]"
5	"[0.00128227 0.00128227 0.0010075  0.00128227 0.0014105  0.00128227
 0.0010075  0.00128227]"
6	"[3.11409091e-04 3.11409091e-04 3.11409091e-04 3.11409091e-04
 3.11409091e-04 9.15909091e-05 9.15909091e-05 9.15909091e-05]"
7	"[0.01500259 0.00461618 0.00666782 0.01500259 0.00666782 0.00428645
 0.00461618 0.00666782]"
8	"[0.000403   0.000403   0.0006045  0.000403   0.00054955 0.0006045
 0.000403   0.00054955]"
9	"[0.008463   0.003627   0.002821   0.0042315  0.00230809 0.002821
 0.00230809 0.008463  ]"
10	"[0.00054955 0.00036636 0.00043964 0.00082432 0.00054955 0.00082432
 0.00036636 0.00043964]"
11	"[1.46545455e-04 1.46545455e-04 1.46545455e-04 1.46545455e-04
 1.46545455e-04 5.49545455e-05 5.49545455e-05 5.49545455e-05]"
12	"[0.02500432 0.01000173 0.00500086 0.02500432 0.00833477 0.00714409
 0.00714409 0.00384682]"
13	"[0.00164864 0.00280268 0.00934227 0.00311409 0.00186845 0.00311409
 0.00280268 0.00280268]"
14	"[3.48045455e-04 3.48045455e-04 3.48045455e-04 3.48045455e-04
 3.48045455e-04 3.48045455e-04 3.48045455e-04 7.32727273e-05]"
15	"[1.46545455e-04 1.28227273e-04 1.46545455e-04 7.32727273e-05
 1.46545455e-04 7.32727273e-05 7.32727273e-05 7.32727273e-05]"
16	"[1.46545455e-04 1.46545455e-04 5.49545455e-05 1.46545455e-04
 5.49545455e-05 5.49545455e-05 1.46545455e-04 5.49545455e-05]"
17	"[0.02143227 0.01318909 0.03429164 0.01905091 0.08572909 0.01714582
 0.04286455 0.01071614]"
18	"[3.66363636e-04 7.32727273e-05 1.83181818e-04 2.74772727e-04
 2.74772727e-04 2.74772727e-04 3.66363636e-04 2.74772727e-04]"
19	"[0.0634725  0.02821    0.02308091 0.016926   0.016926   0.016926
 0.0634725  0.03627   ]"
20	"[0.00095255 0.00095255 0.00095255 0.00051291 0.00051291 0.00166695
 0.00095255 0.00166695]"
21	"[0.04072132 0.04072132 0.01809836 0.00857291 0.01252964 0.04072132
 0.01252964 0.01809836]"
22	"[0.01392182 0.00146545 0.00278436 0.00278436 0.00146545 0.00278436
 0.00278436 0.00174023]"
23	"[0.00082432 0.00065945 0.00054955 0.00065945 0.00109909 0.00054955
 0.00073273 0.00082432]"
24	"[0.0034255  0.00280268 0.0018135  0.0018135  0.00280268 0.00280268
 0.0018135  0.00280268]"
25	"[5.49545455e-05 1.46545455e-04 5.49545455e-05 1.46545455e-04
 5.49545455e-05 5.49545455e-05 5.49545455e-05 1.46545455e-04]"
26	"[0.00833477 0.00333391 0.00476273 0.00256455 0.00666782 0.00333391
 0.00256455 0.00476273]"
27	"[0.00016486 0.00010991 0.00016486 0.00016486 0.00032973 0.00054955
 0.00018318 0.00054955]"
28	"[0.00038468 0.00082432 0.00115405 0.00038468 0.00064114 0.00115405
 0.00115405 0.00064114]"
29	"[1.46545455e-04 1.46545455e-04 5.49545455e-05 5.49545455e-05
 5.49545455e-05 1.46545455e-04 1.46545455e-04 1.46545455e-04]"
30	"[1.46545455e-04 1.46545455e-04 1.46545455e-04 5.49545455e-05
 5.49545455e-05 5.49545455e-05 1.46545455e-04 5.49545455e-05]"
31	"[1.46545455e-04 5.49545455e-05 5.49545455e-05 5.49545455e-05
 1.46545455e-04 1.46545455e-04 1.46545455e-04 1.46545455e-04]"
32	"[1.46545455e-04 1.46545455e-04 1.46545455e-04 5.49545455e-05
 1.46545455e-04 5.49545455e-05 5.49545455e-05 5.49545455e-05]"
33	"[0.00076936 0.00038468 0.00076936 0.00065945 0.00038468 0.00025645
 0.00051291 0.00051291]"
34	"[0.00571527 0.00214323 0.00190509 0.00428645 0.00142882 0.00214323
 0.00131891 0.00428645]"
35	"[0.03550064 0.01044136 0.01183355 0.03550064 0.08875159 0.00934227
 0.01183355 0.02958386]"
36	"[1.64863636e-04 9.15909091e-05 1.64863636e-04 9.15909091e-05
 9.15909091e-05 9.15909091e-05 1.64863636e-04 9.15909091e-05]"
37	"[1.46545455e-04 5.49545455e-05 5.49545455e-05 5.49545455e-05
 1.46545455e-04 5.49545455e-05 1.46545455e-04 1.46545455e-04]"
38	"[1.46545455e-04 1.46545455e-04 1.46545455e-04 1.46545455e-04
 1.46545455e-04 5.49545455e-05 1.46545455e-04 5.49545455e-05]"
39	"[0.005642   0.005642   0.005642   0.00512909 0.00806    0.00512909
 0.0070525  0.005642  ]"
40	"[5.49545455e-05 5.49545455e-05 5.49545455e-05 1.46545455e-04
 1.46545455e-04 1.46545455e-04 1.46545455e-04 1.46545455e-04]"
41	"[5.49545455e-05 5.49545455e-05 1.46545455e-04 1.46545455e-04
 1.46545455e-04 1.46545455e-04 1.46545455e-04 1.46545455e-04]"
42	"[0.00027477 0.00012823 0.00027477 0.00012823 0.00012823 0.00027477
 0.00027477 0.00027477]"
43	"[0.00190509 0.01428818 0.00357205 0.00219818 0.00219818 0.00357205
 0.00190509 0.00190509]"
44	"[0.00016486 0.00012823 0.00012823 0.00012823 0.00016486 0.00012823
 0.00016486 0.00012823]"
45	"[5.49545455e-05 1.46545455e-04 1.46545455e-04 5.49545455e-05
 1.46545455e-04 5.49545455e-05 5.49545455e-05 1.46545455e-04]"
46	"[0.0026195  0.00428645 0.0026195  0.003627   0.00428645 0.0026195
 0.0026195  0.00428645]"
47	"[1.46545455e-04 5.49545455e-05 1.46545455e-04 1.46545455e-04
 1.46545455e-04 1.46545455e-04 1.46545455e-04 1.46545455e-04]"
48	"[0.00082432 0.00065945 0.00036636 0.00082432 0.00082432 0.00065945
 0.00082432 0.00065945]"
49	"[5.49545455e-05 1.46545455e-04 5.49545455e-05 1.46545455e-04
 1.46545455e-04 1.46545455e-04 1.46545455e-04 5.49545455e-05]"
50	"[1.46545455e-04 1.46545455e-04 5.49545455e-05 1.46545455e-04
 1.46545455e-04 5.49545455e-05 1.46545455e-04 5.49545455e-05]"
51	"[9.15909091e-05 7.32727273e-05 9.15909091e-05 9.15909091e-05
 7.32727273e-05 7.32727273e-05 9.15909091e-05 7.32727273e-05]"
52	"[5.49545455e-05 3.48045455e-04 5.49545455e-05 5.49545455e-05
 3.48045455e-04 5.49545455e-05 3.48045455e-04 5.49545455e-05]"
53	"[5.49545455e-05 5.49545455e-05 5.49545455e-05 1.46545455e-04
 5.49545455e-05 1.46545455e-04 5.49545455e-05 5.49545455e-05]"
54	"[9.15909091e-05 9.15909091e-05 1.46545455e-04 1.46545455e-04
 1.46545455e-04 1.46545455e-04 1.46545455e-04 9.15909091e-05]"
55	"[0.00278436 0.00591677 0.00591677 0.00249127 0.00278436 0.00591677
 0.00249127 0.00591677]"
56	"[0.00054955 0.00192341 0.00054955 0.00051291 0.00051291 0.00192341
 0.00192341 0.00192341]"
57	"[1.46545455e-04 5.49545455e-05 5.49545455e-05 5.49545455e-05
 1.46545455e-04 5.49545455e-05 5.49545455e-05 1.46545455e-04]"
