0	"[0.0392925  0.0392925  0.0392925  0.0574275  0.07465575 0.0574275
 0.06786886 0.0392925  0.0574275  0.0574275  0.0574275  0.0574275
 0.0574275  0.07465575]"
1	"[0.00535807 0.00642968 0.0160742  0.00357205 0.00247295 0.00357205
 0.00535807 0.00178602 0.00178602 0.00247295 0.00535807 0.00247295
 0.00357205 0.0160742 ]"
2	"[0.00197836 0.00082432 0.00065945 0.00329727 0.00082432 0.00494591
 0.00197836 0.00123648 0.00123648 0.00197836 0.00054955 0.00494591
 0.00197836 0.00054955]"
3	"[5.49545455e-05 3.02250000e-04 5.49545455e-05 5.49545455e-05
 5.49545455e-05 5.49545455e-05 5.49545455e-05 3.02250000e-04
 5.49545455e-05 3.02250000e-04 5.49545455e-05 3.02250000e-04
 3.02250000e-04 3.02250000e-04]"
4	"[0.00052207 0.00052207 0.00052207 0.00043964 0.00052207 0.00052207
 0.00208827 0.00052207 0.00043964 0.00208827 0.00043964 0.00208827
 0.00208827 0.00052207]"
5	"[1.09909091e-04 8.24318182e-05 1.09909091e-04 8.24318182e-05
 8.24318182e-05 1.09909091e-04 1.09909091e-04 8.24318182e-05
 1.09909091e-04 1.09909091e-04 1.09909091e-04 8.24318182e-05
 1.09909091e-04 8.24318182e-05]"
6	"[0.01500259 0.02143227 0.07501295 0.07501295 0.02500432 0.01250216
 0.02500432 0.01250216 0.01154045 0.07501295 0.01250216 0.02143227
 0.01000173 0.01250216]"
7	"[0.01154045 0.01634898 0.02802682 0.01634898 0.03923755 0.01634898
 0.01307918 0.06539591 0.06539591 0.01961877 0.01961877 0.01634898
 0.01307918 0.03269795]"
8	"[0.00197836 0.00307745 0.00461618 0.00461618 0.00197836 0.00173107
 0.00173107 0.00307745 0.00197836 0.00461618 0.00461618 0.00173107
 0.00461618 0.00197836]"
9	"[0.00041216 0.00065945 0.00065945 0.00043964 0.00131891 0.00065945
 0.00041216 0.00043964 0.00043964 0.00109909 0.00065945 0.00043964
 0.00131891 0.00043964]"
10	"[8.24318182e-05 1.09909091e-04 1.09909091e-04 1.09909091e-04
 1.09909091e-04 1.09909091e-04 8.24318182e-05 1.09909091e-04
 8.24318182e-05 1.09909091e-04 8.24318182e-05 8.24318182e-05
 1.09909091e-04 8.24318182e-05]"
11	"[1.09909091e-04 8.24318182e-05 1.09909091e-04 8.24318182e-05
 1.09909091e-04 8.24318182e-05 1.09909091e-04 1.09909091e-04
 1.09909091e-04 1.09909091e-04 8.24318182e-05 8.24318182e-05
 1.09909091e-04 8.24318182e-05]"
12	"[1.09909091e-04 8.24318182e-05 1.09909091e-04 8.24318182e-05
 1.09909091e-04 1.09909091e-04 8.24318182e-05 1.09909091e-04
 8.24318182e-05 8.24318182e-05 1.09909091e-04 8.24318182e-05
 8.24318182e-05 1.09909091e-04]"
13	"[0.00041216 0.00041216 0.00046711 0.00046711 0.00046711 0.00041216
 0.00046711 0.00041216 0.00046711 0.00046711 0.00046711 0.00046711
 0.00046711 0.00046711]"
14	"[1.09909091e-04 1.09909091e-04 1.09909091e-04 8.24318182e-05
 8.24318182e-05 1.09909091e-04 1.09909091e-04 8.24318182e-05
 1.09909091e-04 1.09909091e-04 1.09909091e-04 8.24318182e-05
 1.09909091e-04 8.24318182e-05]"
15	"[8.24318182e-05 1.09909091e-04 8.24318182e-05 8.24318182e-05
 1.09909091e-04 1.09909091e-04 1.09909091e-04 8.24318182e-05
 8.24318182e-05 8.24318182e-05 8.24318182e-05 8.24318182e-05
 1.09909091e-04 1.09909091e-04]"
