0	"[0.61305694 0.49384693 0.29532165 0.14747319 0.18160269 0.40998753
 0.66445538 0.72968505 0.93007722]"
1	"[0.46758134 0.11457529 0.16391977 0.26377709 0.13886505 0.06798426
 0.0418405  0.05612588 0.71217148]"
2	"[0.95853596 0.83543321 0.73207982 0.42394955 0.48162497 0.60055309
 0.59082183 0.81755139 0.95044451]"
3	"[0.08555138 0.03214548 0.09236377 0.0503308  0.10343832 0.10854086
 0.54334885 0.28671282 0.1983664 ]"
4	"[0.51239275 0.18891999 0.28202766 0.23158793 0.13241206 0.07810939
 0.08829115 0.13270255 0.55716165]"
5	"[0.42872435 0.14326487 0.13398263 0.0777794  0.01041974 0.00467734
 0.08167529 0.43723412 0.80597596]"
6	"[0.98408212 0.78317339 0.766072   0.7144271  0.11390512 0.21585601
 0.71027638 0.34873315 0.48605957]"
7	"[0.40033013 0.37940476 0.85676255 0.90437484 0.26077861 0.20626958
 0.80852481 0.31300695 0.39928708]"
8	"[0.72939528 0.25367335 0.12705663 0.1444937  0.27414827 0.20155677
 0.22956622 0.56787544 0.89414611]"
9	"[0.28808464 0.14408254 0.11655559 0.10487797 0.2831542  0.2828566
 0.3179129  0.4867123  0.88100482]"
10	"[0.71021007 0.24570565 0.14131215 0.11405001 0.06537173 0.06817758
 0.06827152 0.15246159 0.84012752]"
11	"[0.89876151 0.27760327 0.13837798 0.22401397 0.23129851 0.38190912
 0.60229205 0.26904673 0.43786938]"
12	"[0.41219553 0.35466049 0.68327023 0.12181593 0.18942013 0.1855106
 0.43905387 0.70735791 0.54055954]"
13	"[0.58508498 0.2076969  0.13461395 0.10181489 0.13878562 0.12606367
 0.11276103 0.14447712 0.52816971]"
14	"[0.42382728 0.08262826 0.24831838 0.16239318 0.03041063 0.06220668
 0.11677254 0.10835622 0.48854132]"
15	"[0.93960651 0.90388896 0.6119065  0.24560739 0.26054245 0.20892418
 0.23584453 0.53634625 0.92086162]"
16	"[0.4530549  0.09322322 0.06175812 0.05509714 0.11292357 0.23003066
 0.16659459 0.11388702 0.50559158]"
17	"[0.44736335 0.14451141 0.06393838 0.04385261 0.16904741 0.10377927
 0.11823208 0.45371472 0.89845783]"
18	"[0.8905719  0.59598302 0.31923391 0.32379441 0.28761264 0.23195889
 0.3192862  0.45006911 0.84507722]"
19	"[0.23868733 0.07057896 0.23493168 0.01816168 0.02020167 0.95896755
 0.9113671  0.06758988 0.19251434]"
20	"[0.87919175 0.74039852 0.6298035  0.53836271 0.76125444 0.93605764
 0.69285494 0.73060151 0.96787095]"
21	"[0.96818166 0.66493235 0.36134537 0.1835369  0.10614883 0.1854449
 0.5563024  0.42340266 0.52159638]"
22	"[0.78125678 0.23582436 0.09386585 0.09382816 0.1407369  0.17089745
 0.26587278 0.70399798 0.91841429]"
23	"[0.27083599 0.72311945 0.12196588 0.43770125 0.13536944 0.08386207
 0.21171587 0.1164532  0.2030722 ]"
24	"[0.90270443 0.32239418 0.63605632 0.61481524 0.58201798 0.76153194
 0.61419781 0.94945542 0.94243787]"
25	"[0.09738888 0.66529945 0.68678881 0.50450593 0.13950271 0.74472247
 0.95880245 0.75797174 0.76780487]"
26	"[0.97212514 0.9385521  0.73116493 0.70354057 0.68033007 0.55635364
 0.59153866 0.72488652 0.96597439]"
27	"[0.56444844 0.13081179 0.29466256 0.69638817 0.28800727 0.2786676
 0.2683384  0.34449708 0.93455155]"
28	"[0.81847676 0.13834278 0.01810823 0.10193074 0.14758684 0.03666134
 0.06533209 0.13548083 0.58018345]"
29	"[0.28759892 0.06461879 0.04418954 0.08050261 0.40014615 0.43241079
 0.2225774  0.06088513 0.30612802]"
30	"[0.32677747 0.143398   0.15647866 0.14686725 0.33901574 0.3437954
 0.41576033 0.56289223 0.83950529]"
31	"[0.51245068 0.12076724 0.07076651 0.17017194 0.26637667 0.26234303
 0.18631884 0.09292852 0.5109148 ]"
32	"[0.25308661 0.4332945  0.69760969 0.30893292 0.89047648 0.17433447
 0.44204377 0.46224246 0.63942202]"
33	"[0.61627396 0.14976285 0.09535756 0.08002113 0.06000566 0.07178439
 0.09267054 0.15308326 0.70733754]"
34	"[0.06941978 0.42540885 0.59918335 0.80941244 0.46628819 0.73674803
 0.47898054 0.92638256 0.88461694]"
35	"[0.30872194 0.2381909  0.26954216 0.74130005 0.77419607 0.1313594
 0.6541087  0.28327082 0.25715533]"
36	"[0.17527144 0.03059581 0.13649841 0.08032642 0.0150656  0.0989107
 0.51246133 0.11802281 0.25369982]"
37	"[0.90198459 0.5857622  0.46872424 0.37049922 0.41410442 0.56686477
 0.49632419 0.62199634 0.83420106]"
38	"[0.92135293 0.66149341 0.13508193 0.13504381 0.41801538 0.47804261
 0.14261246 0.04133913 0.4025088 ]"
39	"[0.9203442  0.37290146 0.10695429 0.13258248 0.32999614 0.30996433
 0.39161442 0.5149802  0.68901267]"
40	"[0.12944785 0.07952994 0.19849828 0.0708997  0.06363438 0.11144483
 0.12672875 0.02399128 0.22070297]"
41	"[0.8771079  0.38727848 0.17047666 0.28481865 0.70161418 0.21643778
 0.03644416 0.08836415 0.55412653]"
42	"[0.29335984 0.01302666 0.06502835 0.41832507 0.07929057 0.04019766
 0.19984952 0.13822632 0.29643435]"
43	"[0.97888447 0.78161934 0.47523377 0.61208484 0.7847739  0.59195307
 0.36148171 0.37827674 0.71494609]"
44	"[0.96226282 0.81332632 0.64155659 0.43705005 0.38565389 0.27002299
 0.3897781  0.77649257 0.91499679]"
45	"[0.61798449 0.12274105 0.06917695 0.08008322 0.06672128 0.06290555
 0.1139125  0.15263262 0.47830228]"
46	"[0.55482551 0.10374477 0.05606227 0.05775372 0.08138039 0.19004195
 0.96068665 0.98496331 0.76428775]"
47	"[0.89560827 0.67056856 0.64042837 0.66543124 0.71490007 0.72585219
 0.6086687  0.68611225 0.90936513]"
48	"[0.22986071 0.06202539 0.05575982 0.07206128 0.26979708 0.07480587
 0.16212988 0.13195835 0.15307126]"
49	"[0.72601726 0.2908935  0.36392647 0.73438218 0.77500582 0.53195363
 0.40542642 0.71669257 0.8556133 ]"
