0	"[0.00346214 0.00420402 0.00346214 0.01961877 0.02942816 0.00840805
 0.0032698  0.0032698 ]"
1	"[0.02349307 0.01978364 0.02088273 0.02088273 0.06264818 0.01978364
 0.04176545 0.02505927]"
2	"[0.00013739 0.00013739 0.00013739 0.00013739 0.00052207 0.00013739
 0.00052207 0.00052207]"
3	"[0.00692427 0.025389   0.025389   0.01904175 0.025389   0.0054405
 0.01904175 0.008463  ]"
4	"[0.02857636 0.02418    0.01964625 0.0392925  0.02857636 0.062868
 0.02418    0.062868  ]"
5	"[0.00346214 0.00346214 0.0009617  0.00247295 0.0009617  0.0009617
 0.00346214 0.00346214]"
6	"[0.00049459 0.00016486 0.00013739 0.0002473  0.00049459 0.00016486
 0.00013739 0.00082432]"
7	"[0.00041216 0.00010991 0.00041216 0.00041216 0.00041216 0.00041216
 0.00041216 0.00010991]"
8	"[0.00046711 0.00046711 0.00046711 0.00046711 0.00046711 0.00046711
 0.00046711 0.00052207]"
9	"[0.00032973 0.00032973 0.00046711 0.00032973 0.00046711 0.00032973
 0.00046711 0.00046711]"
10	"[0.00417655 0.00285764 0.00417655 0.00417655 0.00285764 0.00678689
 0.00285764 0.00678689]"
11	"[0.03036239 0.01214495 0.01214495 0.03036239 0.03036239 0.00934227
 0.00714409 0.06072477]"
12	"[0.00783102 0.01879445 0.00783102 0.01044136 0.00494591 0.01566205
 0.01044136 0.00494591]"
13	"[0.00016486 0.00016486 0.00049459 0.00082432 0.00013739 0.00049459
 0.0002473  0.00049459]"
14	"[0.0003572  0.0003572  0.00041216 0.00041216 0.00041216 0.00041216
 0.0003572  0.0003572 ]"
15	"[0.00013739 0.00049459 0.00016486 0.00016486 0.00013739 0.00049459
 0.00082432 0.0002473 ]"
16	"[0.00013739 0.00046711 0.00046711 0.00046711 0.00013739 0.00013739
 0.00013739 0.00046711]"
17	"[0.00659455 0.004836   0.00659455 0.004836   0.03627    0.0090675
 0.00453375 0.00453375]"
18	"[2.47295455e-04 2.47295455e-04 2.47295455e-04 2.47295455e-04
 2.47295455e-04 2.47295455e-04 5.49545455e-05 2.47295455e-04]"
19	"[0.0002473  0.00049459 0.00049459 0.0002473  0.00013739 0.00016486
 0.00082432 0.00016486]"
20	"[0.00041216 0.00019234 0.00041216 0.00041216 0.00019234 0.00019234
 0.00041216 0.00019234]"
21	"[0.00016486 0.00049459 0.0002473  0.00013739 0.0002473  0.00082432
 0.00049459 0.0002473 ]"
22	"[0.00153873 0.00153873 0.00230809 0.00153873 0.00230809 0.00032973
 0.00057702 0.00153873]"
23	"[0.00357205 0.00428645 0.00535807 0.00428645 0.02143227 0.00329727
 0.01071614 0.01071614]"
24	"[0.00574275 0.004836   0.00835309 0.00574275 0.00574275 0.00574275
 0.00574275 0.004836  ]"
25	"[0.00027477 0.00013739 0.00013739 0.00027477 0.00016486 0.00016486
 0.00013739 0.00027477]"
26	"[0.00178602 0.00027477 0.00027477 0.00027477 0.00178602 0.0003572
 0.0003572  0.0003572 ]"
27	"[0.00107161 0.00178602 0.00107161 0.00107161 0.00107161 0.00123648
 0.00107161 0.00123648]"
28	"[0.00233557 0.00934227 0.00934227 0.00109909 0.00109909 0.00233557
 0.00233557 0.00373691]"
29	"[0.00049459 0.00049459 0.00082432 0.0002473  0.00016486 0.0002473
 0.0002473  0.00013739]"
30	"[0.01250216 0.03750648 0.01154045 0.01500259 0.01071614 0.01500259
 0.01500259 0.01250216]"
31	"[0.0002473  0.00049459 0.00013739 0.00016486 0.00013739 0.0002473
 0.0002473  0.00082432]"
32	"[0.00027477 0.00027477 0.00027477 0.00027477 0.0003572  0.0003572
 0.0003572  0.00027477]"
33	"[0.00288511 0.00692427 0.00577023 0.01154045 0.00247295 0.00384682
 0.01731068 0.00494591]"
34	"[0.00016486 0.00016486 0.00013739 0.00013739 0.00049459 0.00049459
 0.00082432 0.0002473 ]"
35	"[0.00142882 0.00535807 0.00535807 0.00142882 0.00535807 0.00164864
 0.00535807 0.00535807]"
36	"[0.00052207 0.0002473  0.00052207 0.0002473  0.00052207 0.0002473
 0.0002473  0.00052207]"
37	"[2.47295455e-04 5.49545455e-05 2.47295455e-04 2.47295455e-04
 5.49545455e-05 2.47295455e-04 5.49545455e-05 2.47295455e-04]"
38	"[0.0042315  0.008463   0.00634725 0.008463   0.00461618 0.0126945
 0.007254   0.00461618]"
39	"[0.03173625 0.0211575  0.0272025  0.01731068 0.0380835  0.0211575
 0.0211575  0.03173625]"
40	"[0.00173107 0.00272025 0.00272025 0.00173107 0.00173107 0.00272025
 0.00272025 0.00211575]"
41	"[0.00142882 0.00109909 0.00109909 0.00178602 0.00142882 0.00178602
 0.00142882 0.00142882]"
42	"[0.00219818 0.00219818 0.00219818 0.0009617  0.00153873 0.00118364
 0.00118364 0.00118364]"
43	"[0.00013739 0.00049459 0.0002473  0.00049459 0.00016486 0.00013739
 0.00082432 0.00016486]"
44	"[0.01634898 0.01401341 0.01401341 0.01961877 0.01401341 0.00577023
 0.01634898 0.00577023]"
45	"[0.00019234 0.00030225 0.00030225 0.00030225 0.00030225 0.00030225
 0.00019234 0.00030225]"
46	"[0.00052207 0.00027477 0.00027477 0.00052207 0.00052207 0.00027477
 0.00027477 0.00052207]"
47	"[0.00230809 0.00365448 0.01096343 0.00313241 0.00365448 0.00230809
 0.01096343 0.00730895]"
48	"[0.00513825 0.020553   0.00513825 0.004836   0.004836   0.00513825
 0.00747382 0.00513825]"
49	"[0.00016486 0.00017755 0.00017755 0.00017755 0.00017755 0.00016486
 0.00019234 0.00016486]"
