0	"[0.41698349 0.06095842 0.02697024 0.03390877 0.07092469 0.13681894
 0.61710164]"
1	"[0.45222664 0.05430711 0.02598547 0.04882565 0.05665145 0.08720874
 0.54301427]"
2	"[0.63780358 0.07880415 0.03981348 0.04186339 0.0571393  0.09294127
 0.56991815]"
3	"[0.34415057 0.03284102 0.03089203 0.04062937 0.05463715 0.10991373
 0.47692816]"
4	"[0.50857437 0.05485522 0.03147328 0.04156675 0.06358532 0.08099246
 0.537584  ]"
5	"[0.43272096 0.05609471 0.03236303 0.04610603 0.06336892 0.06596862
 0.42599309]"
6	"[0.4770899  0.05295432 0.02792812 0.0441968  0.06224244 0.07454476
 0.36873114]"
7	"[0.65427971 0.24078655 0.01578757 0.06263288 0.04761646 0.08953436
 0.28669614]"
8	"[0.48666857 0.06201067 0.02767534 0.04203253 0.06394675 0.08540861
 0.48578164]"
9	"[0.28001973 0.02922762 0.03140674 0.03954993 0.06234753 0.11405983
 0.54311966]"
